Rainfall - (MM), Year, Statistics, Country, ISO3
21.1, 1991, Jan Average, Russia, RUS
16.0, 1991, Feb Average, Russia, RUS
16.4, 1991, Mar Average, Russia, RUS
22.3, 1991, Apr Average, Russia, RUS
34.3, 1991, May Average, Russia, RUS
54.9, 1991, Jun Average, Russia, RUS
59.9, 1991, Jul Average, Russia, RUS
60.7, 1991, Aug Average, Russia, RUS
42.7, 1991, Sep Average, Russia, RUS
42.2, 1991, Oct Average, Russia, RUS
29.7, 1991, Nov Average, Russia, RUS
23.2, 1991, Dec Average, Russia, RUS
22.6, 1992, Jan Average, Russia, RUS
18.8, 1992, Feb Average, Russia, RUS
17.5, 1992, Mar Average, Russia, RUS
26.2, 1992, Apr Average, Russia, RUS
30.8, 1992, May Average, Russia, RUS
46.6, 1992, Jun Average, Russia, RUS
60.6, 1992, Jul Average, Russia, RUS
57.9, 1992, Aug Average, Russia, RUS
41.6, 1992, Sep Average, Russia, RUS
40.7, 1992, Oct Average, Russia, RUS
33.6, 1992, Nov Average, Russia, RUS
24.2, 1992, Dec Average, Russia, RUS
23.5, 1993, Jan Average, Russia, RUS
17.7, 1993, Feb Average, Russia, RUS
17.1, 1993, Mar Average, Russia, RUS
21.3, 1993, Apr Average, Russia, RUS
32.6, 1993, May Average, Russia, RUS
50.3, 1993, Jun Average, Russia, RUS
61.7, 1993, Jul Average, Russia, RUS
65.8, 1993, Aug Average, Russia, RUS
49.0, 1993, Sep Average, Russia, RUS
36.0, 1993, Oct Average, Russia, RUS
20.9, 1993, Nov Average, Russia, RUS
25.1, 1993, Dec Average, Russia, RUS
22.1, 1994, Jan Average, Russia, RUS
14.9, 1994, Feb Average, Russia, RUS
19.0, 1994, Mar Average, Russia, RUS
20.8, 1994, Apr Average, Russia, RUS
41.1, 1994, May Average, Russia, RUS
53.2, 1994, Jun Average, Russia, RUS
66.0, 1994, Jul Average, Russia, RUS
59.9, 1994, Aug Average, Russia, RUS
48.0, 1994, Sep Average, Russia, RUS
35.8, 1994, Oct Average, Russia, RUS
34.2, 1994, Nov Average, Russia, RUS
20.4, 1994, Dec Average, Russia, RUS
23.5, 1995, Jan Average, Russia, RUS
20.3, 1995, Feb Average, Russia, RUS
21.0, 1995, Mar Average, Russia, RUS
22.0, 1995, Apr Average, Russia, RUS
36.1, 1995, May Average, Russia, RUS
48.5, 1995, Jun Average, Russia, RUS
63.3, 1995, Jul Average, Russia, RUS
63.8, 1995, Aug Average, Russia, RUS
45.5, 1995, Sep Average, Russia, RUS
37.7, 1995, Oct Average, Russia, RUS
36.4, 1995, Nov Average, Russia, RUS
23.9, 1995, Dec Average, Russia, RUS
19.7, 1996, Jan Average, Russia, RUS
16.7, 1996, Feb Average, Russia, RUS
13.2, 1996, Mar Average, Russia, RUS
17.9, 1996, Apr Average, Russia, RUS
33.7, 1996, May Average, Russia, RUS
54.4, 1996, Jun Average, Russia, RUS
62.3, 1996, Jul Average, Russia, RUS
60.0, 1996, Aug Average, Russia, RUS
48.3, 1996, Sep Average, Russia, RUS
33.9, 1996, Oct Average, Russia, RUS
30.4, 1996, Nov Average, Russia, RUS
28.5, 1996, Dec Average, Russia, RUS
21.8, 1997, Jan Average, Russia, RUS
18.9, 1997, Feb Average, Russia, RUS
21.6, 1997, Mar Average, Russia, RUS
25.1, 1997, Apr Average, Russia, RUS
39.1, 1997, May Average, Russia, RUS
53.2, 1997, Jun Average, Russia, RUS
58.7, 1997, Jul Average, Russia, RUS
64.1, 1997, Aug Average, Russia, RUS
41.9, 1997, Sep Average, Russia, RUS
45.3, 1997, Oct Average, Russia, RUS
29.4, 1997, Nov Average, Russia, RUS
23.8, 1997, Dec Average, Russia, RUS
20.1, 1998, Jan Average, Russia, RUS
19.1, 1998, Feb Average, Russia, RUS
20.3, 1998, Mar Average, Russia, RUS
24.8, 1998, Apr Average, Russia, RUS
34.7, 1998, May Average, Russia, RUS
52.6, 1998, Jun Average, Russia, RUS
60.4, 1998, Jul Average, Russia, RUS
60.3, 1998, Aug Average, Russia, RUS
49.9, 1998, Sep Average, Russia, RUS
43.9, 1998, Oct Average, Russia, RUS
27.8, 1998, Nov Average, Russia, RUS
28.6, 1998, Dec Average, Russia, RUS
22.6, 1999, Jan Average, Russia, RUS
18.4, 1999, Feb Average, Russia, RUS
13.5, 1999, Mar Average, Russia, RUS
22.7, 1999, Apr Average, Russia, RUS
34.6, 1999, May Average, Russia, RUS
43.7, 1999, Jun Average, Russia, RUS
57.6, 1999, Jul Average, Russia, RUS
67.7, 1999, Aug Average, Russia, RUS
42.8, 1999, Sep Average, Russia, RUS
40.0, 1999, Oct Average, Russia, RUS
30.7, 1999, Nov Average, Russia, RUS
26.9, 1999, Dec Average, Russia, RUS
20.5, 2000, Jan Average, Russia, RUS
17.3, 2000, Feb Average, Russia, RUS
18.5, 2000, Mar Average, Russia, RUS
24.8, 2000, Apr Average, Russia, RUS
38.9, 2000, May Average, Russia, RUS
56.5, 2000, Jun Average, Russia, RUS
70.2, 2000, Jul Average, Russia, RUS
64.3, 2000, Aug Average, Russia, RUS
49.9, 2000, Sep Average, Russia, RUS
33.3, 2000, Oct Average, Russia, RUS
23.2, 2000, Nov Average, Russia, RUS
23.8, 2000, Dec Average, Russia, RUS
20.8, 2001, Jan Average, Russia, RUS
19.7, 2001, Feb Average, Russia, RUS
25.4, 2001, Mar Average, Russia, RUS
22.7, 2001, Apr Average, Russia, RUS
42.7, 2001, May Average, Russia, RUS
53.2, 2001, Jun Average, Russia, RUS
58.7, 2001, Jul Average, Russia, RUS
63.5, 2001, Aug Average, Russia, RUS
43.6, 2001, Sep Average, Russia, RUS
38.0, 2001, Oct Average, Russia, RUS
32.5, 2001, Nov Average, Russia, RUS
22.0, 2001, Dec Average, Russia, RUS
25.5, 2002, Jan Average, Russia, RUS
24.0, 2002, Feb Average, Russia, RUS
24.8, 2002, Mar Average, Russia, RUS
19.9, 2002, Apr Average, Russia, RUS
36.9, 2002, May Average, Russia, RUS
50.1, 2002, Jun Average, Russia, RUS
63.8, 2002, Jul Average, Russia, RUS
56.1, 2002, Aug Average, Russia, RUS
50.7, 2002, Sep Average, Russia, RUS
40.2, 2002, Oct Average, Russia, RUS
30.3, 2002, Nov Average, Russia, RUS
18.8, 2002, Dec Average, Russia, RUS
23.7, 2003, Jan Average, Russia, RUS
14.3, 2003, Feb Average, Russia, RUS
15.3, 2003, Mar Average, Russia, RUS
22.5, 2003, Apr Average, Russia, RUS
33.5, 2003, May Average, Russia, RUS
53.7, 2003, Jun Average, Russia, RUS
57.6, 2003, Jul Average, Russia, RUS
64.3, 2003, Aug Average, Russia, RUS
44.5, 2003, Sep Average, Russia, RUS
41.1, 2003, Oct Average, Russia, RUS
26.7, 2003, Nov Average, Russia, RUS
29.3, 2003, Dec Average, Russia, RUS
20.4, 2004, Jan Average, Russia, RUS
19.8, 2004, Feb Average, Russia, RUS
24.6, 2004, Mar Average, Russia, RUS
22.3, 2004, Apr Average, Russia, RUS
35.8, 2004, May Average, Russia, RUS
55.4, 2004, Jun Average, Russia, RUS
62.4, 2004, Jul Average, Russia, RUS
62.5, 2004, Aug Average, Russia, RUS
55.0, 2004, Sep Average, Russia, RUS
41.6, 2004, Oct Average, Russia, RUS
31.8, 2004, Nov Average, Russia, RUS
23.6, 2004, Dec Average, Russia, RUS
22.3, 2005, Jan Average, Russia, RUS
11.5, 2005, Feb Average, Russia, RUS
22.1, 2005, Mar Average, Russia, RUS
26.3, 2005, Apr Average, Russia, RUS
33.1, 2005, May Average, Russia, RUS
57.8, 2005, Jun Average, Russia, RUS
64.0, 2005, Jul Average, Russia, RUS
59.7, 2005, Aug Average, Russia, RUS
41.0, 2005, Sep Average, Russia, RUS
38.1, 2005, Oct Average, Russia, RUS
30.4, 2005, Nov Average, Russia, RUS
22.3, 2005, Dec Average, Russia, RUS
16.6, 2006, Jan Average, Russia, RUS
18.1, 2006, Feb Average, Russia, RUS
22.0, 2006, Mar Average, Russia, RUS
22.1, 2006, Apr Average, Russia, RUS
34.2, 2006, May Average, Russia, RUS
48.9, 2006, Jun Average, Russia, RUS
