,,"Ambient air pollution attributable DALYs","Ambient air pollution attributable DALYs","Ambient air pollution attributable DALYs","Ambient air pollution attributable DALYs  in children under 5 years","Ambient air pollution attributable DALYs  in children under 5 years","Ambient air pollution attributable DALYs  in children under 5 years","Ambient air pollution attributable DALYs  (per 100 000 population)","Ambient air pollution attributable DALYs  (per 100 000 population)","Ambient air pollution attributable DALYs  (per 100 000 population)","Ambient air pollution attributable DALYs  (per 100 000 population, age-standardized)","Ambient air pollution attributable DALYs  (per 100 000 population, age-standardized)","Ambient air pollution attributable DALYs  (per 100 000 population, age-standardized)"
,,"2016","2016","2016","2016","2016","2016","2016","2016","2016","2016","2016","2016"
"Country","Cause","Both sexes","Male","Female","Both sexes","Male","Female","Both sexes","Male","Female","Both sexes","Male","Female"
"Afghanistan","Total","810565 [704771–924939]","418721 [367357–474761]","391843 [337980–449421]","","","","2339 [2034–2669]","2344 [2056–2658]","2334 [2013–2676]","3333 [2898–3803]","3630 [3185–4116]","3047 [2628–3495]"
"Afghanistan","Lower respiratory infections","450872 [349309–554153]","215866 [167241–265315]","235006 [182069–288839]","386056 [299094–474491]","184226 [142728–226427]","201830 [156367–248064]","1301 [1008–1599]","1208 [936–1485]","1400 [1084–1720]","906 [702–1114]","880 [682–1082]","938 [727–1153]"
"Afghanistan","Trachea, bronchus, lung cancers","8103 [5292–10992]","5863 [3829–7954]","2239 [1462–3038]","","","","23 [15–32]","33 [21–45]","13 [9–18]","53 [35–72]","79 [51–107]","28 [18–38]"
"Afghanistan","Cataracts","0 [0–0]","","0 [0–0]","","","","0 [0–0]","","0 [0–0]","0 [0–0]","","0 [0–0]"
"Afghanistan","Ischaemic heart disease","226647 [195538–259836]","136347 [117704–156384]","90301 [77817–103348]","","","","654 [564–750]","763 [659–875]","538 [463–615]","1511 [1304–1732]","1791 [1546–2054]","1228 [1058–1405]"
"Afghanistan","Stroke","88053 [75559–100810]","41139 [35338–47254]","46913 [40389–53611]","","","","254 [218–291]","230 [198–265]","279 [241–319]","580 [498–664]","562 [483–646]","602 [518–688]"
"Afghanistan","Chronic obstructive pulmonary disease","36891 [22275–52699]","19506 [11778–27866]","17384 [10497–24834]","","","","106 [64–152]","109 [66–156]","104 [63–148]","282 [170–403]","318 [192–455]","252 [152–360]"
"Albania","Total","37856 [32019–43749]","23599 [20255–27076]","14257 [11838–16890]","","","","1294 [1094–1495]","1597 [1371–1832]","984 [817–1166]","918 [777–1061]","1194 [1024–1369]","659 [547–781]"
"Albania","Lower respiratory infections","1965 [1000–3118]","1104 [562–1752]","861 [438–1366]","727 [370–1153]","382 [194–606]","345 [175–547]","67 [34–107]","75 [38–119]","59 [30–94]","69 [35–110]","75 [38–119]","65 [33–103]"
"Albania","Trachea, bronchus, lung cancers","3003 [1596–4734]","2030 [1079–3200]","973 [517–1534]","","","","103 [55–162]","137 [73–217]","67 [36–106]","71 [38–111]","96 [51–152]","46 [24–72]"
"Albania","Cataracts","0 [0–0]","","0 [0–0]","","","","0 [0–0]","","0 [0–0]","0 [0–0]","","0 [0–0]"
"Albania","Ischaemic heart disease","20409 [16286–24251]","13379 [10860–15773]","7030 [5406–8579]","","","","697 [557–829]","905 [735–1067]","485 [373–592]","491 [392–583]","679 [551–800]","312 [240–381]"
"Albania","Stroke","10387 [7589–14669]","5675 [4203–7783]","4712 [3378–6874]","","","","355 [259–501]","384 [284–527]","325 [233–475]","241 [176–340]","277 [205–380]","207 [148–302]"
"Albania","Chronic obstructive pulmonary disease","2091 [1005–3450]","1411 [678–2327]","681 [327–1123]","","","","71 [34–118]","95 [46–157]","47 [23–78]","47 [22–77]","66 [32–109]","30 [14–49]"
"Algeria","Total","400700 [358221–446602]","217254 [194685–241306]","183445 [162481–206542]","","","","987 [882–1100]","1059 [949–1177]","913 [808–1028]","1117 [998–1245]","1244 [1115–1382]","991 [878–1116]"
"Algeria","Lower respiratory infections","112818 [82408–144624]","50670 [37012–64954]","62148 [45396–79669]","77126 [56337–98870]","31726 [23174–40670]","45401 [33163–58200]","278 [203–356]","247 [180–317]","309 [226–396]","249 [182–319]","229 [168–294]","270 [197–346]"
"Algeria","Trachea, bronchus, lung cancers","16290 [9989–23234]","13099 [8033–18683]","3191 [1957–4551]","","","","40 [25–57]","64 [39–91]","16 [10–23]","49 [30–70]","79 [48–113]","19 [12–27]"
"Algeria","Cataracts","0 [0–0]","","0 [0–0]","","","","0 [0–0]","","0 [0–0]","0 [0–0]","","0 [0–0]"
"Algeria","Ischaemic heart disease","185159 [156689–212832]","106954 [90474–122701]","78205 [65359–90043]","","","","456 [386–524]","522 [441–598]","389 [325–448]","558 [472–642]","648 [548–744]","467 [391–538]"
"Algeria","Stroke","57173 [47688–68221]","28554 [23712–33964]","28619 [23993–34112]","","","","141 [117–168]","139 [116–166]","142 [119–170]","172 [143–205]","175 [145–208]","168 [141–201]"
"Algeria","Chronic obstructive pulmonary disease","29259 [16698–43316]","17977 [10260–26614]","11282 [6439–16702]","","","","72 [41–107]","88 [50–130]","56 [32–83]","89 [51–132]","112 [64–166]","67 [38–99]"
"Andorra","Cataracts","0 [0–0]","","0 [0–0]","","","","0 [0–0]","","0 [0–0]","0 [0–0]","","0 [0–0]"
"Angola","Total","506561 [358873–661548]","248131 [176551–323354]","258430 [182115–338083]","","","","1758 [1246–2296]","1757 [1250–2289]","1759 [1240–2302]","1783 [1263–2328]","1870 [1330–2437]","1709 [1204–2236]"
"Angola","Lower respiratory infections","416998 [272572–569510]","202267 [132213–276244]","214731 [140360–293266]","353080 [230793–482216]","168034 [109836–229491]","185046 [120956–252725]","1447 [946–1977]","1432 [936–1956]","1462 [956–1997]","966 [632–1320]","996 [651–1360]","947 [619–1293]"
"Angola","Trachea, bronchus, lung cancers","905 [522–1340]","539 [311–798]","366 [211–542]","","","","3 [2–5]","4 [2–6]","2 [1–4]","8 [5–12]","11 [6–16]","6 [3–9]"
"Angola","Cataracts","0 [0–0]","","0 [0–0]","","","","0 [0–0]","","0 [0–0]","0 [0–0]","","0 [0–0]"
"Angola","Ischaemic heart disease","43715 [36633–50551]","24375 [20522–28293]","19341 [16027–22567]","","","","152 [127–175]","173 [145–200]","132 [109–154]","397 [332–459]","451 [380–524]","345 [286–403]"
"Angola","Stroke","29840 [24666–35442]","13681 [11312–16244]","16158 [13340–19264]","","","","104 [86–123]","97 [80–115]","110 [91–131]","266 [220–316]","258 [213–306]","272 [224–324]"
"Angola","Chronic obstructive pulmonary disease","15104 [8300–23296]","7269 [3995–11212]","7834 [4305–12084]","","","","52 [29–81]","51 [28–79]","53 [29–82]","146 [80–225]","154 [85–238]","139 [76–214]"
"Antigua and Barbuda","Total","616 [531–715]","352 [297–413]","265 [229–304]","","","","610 [526–709]","726 [612–852]","504 [437–580]","630 [543–732]","803 [678–942]","486 [421–559]"
"Antigua and Barbuda","Lower respiratory infections","111 [56–176]","75 [38–120]","35 [18–56]","5 [2–8]","3 [1–5]","2 [1–3]","110 [55–174]","156 [78–247]","67 [34–107]","115 [58–182]","173 [87–274]","63 [32–99]"
"Antigua and Barbuda","Trachea, bronchus, lung cancers","13 [7–20]","8 [4–12]","5 [3–8]","","","","13 [7–20]","16 [8–25]","10 [5–15]","12 [7–20]","15 [8–23]","11 [6–17]"
"Antigua and Barbuda","Cataracts","0 [0–0]","","0 [0–0]","","","","0 [0–0]","","0 [0–0]","0 [0–0]","","0 [0–0]"
"Antigua and Barbuda","Ischaemic heart disease","299 [243–352]","177 [144–211]","121 [98–144]","","","","296 [241–349]","365 [297–435]","231 [187–273]","307 [250–362]","401 [325–477]","230 [186–272]"
"Antigua and Barbuda","Stroke","146 [109–184]","62 [47–79]","84 [61–109]","","","","145 [108–183]","128 [96–163]","160 [116–208]","145 [109–183]","144 [108–183]","148 [108–192]"
"Antigua and Barbuda","Chronic obstructive pulmonary disease","48 [23–80]","30 [14–49]","19 [9–31]","","","","48 [23–79]","61 [29–100]","36 [17–59]","51 [24–84]","71 [34–117]","34 [16–56]"
"Argentina","Total","290515 [229925–364593]","170593 [137220–210156]","119923 [92303–153869]","","","","663 [524–832]","795 [639–979]","536 [412–687]","548 [434–688]","755 [608–930]","380 [292–487]"
"Argentina","Lower respiratory infections","66887 [24924–123206]","35561 [13251–65504]","31325 [11673–57701]","5940 [2214–10942]","3238 [1207–5965]","2702 [1007–4977]","153 [57–281]","166 [62–305]","140 [52–258]","122 [45–225]","156 [58–288]","96 [36–177]"
"Argentina","Trachea, bronchus, lung cancers","18948 [9209–31623]","12831 [6236–21414]","6117 [2973–10209]","","","","43 [21–72]","60 [29–100]","27 [13–46]","38 [18–63]","57 [28–95]","23 [11–38]"
"Argentina","Cataracts","0 [0–0]","","0 [0–0]","","","","0 [0–0]","","0 [0–0]","0 [0–0]","","0 [0–0]"
"Argentina","Ischaemic heart disease","111393 [87320–133870]","71312 [57060–85540]","40081 [29404–50454]","","","","254 [199–305]","332 [266–399]","179 [131–225]","214 [168–258]","319 [255–382]","125 [92–157]"
"Argentina","Stroke","43909 [32424–59747]","24011 [17861–31372]","19899 [14476–29423]","","","","100 [74–136]","112 [83–146]","89 [65–131]","85 [63–116]","107 [80–140]","68 [49–100]"
"Argentina","Chronic obstructive pulmonary disease","49379 [19605–87232]","26878 [10671–47482]","22501 [8933–39750]","","","","113 [45–199]","125 [50–221]","100 [40–178]","88 [35–156]","116 [46–206]","68 [27–121]"
"Armenia","Total","45541 [39770–51759]","29151 [25632–33249]","16390 [13694–19158]","","","","1557 [1360–1770]","2120 [1864–2418]","1058 [884–1236]","1191 [1040–1354]","1843 [1621–2103]","696 [582–814]"
"Armenia","Lower respiratory infections","2692 [1863–3597]","1556 [1077–2079]","1136 [786–1517]","1192 [825–1592]","641 [443–856]","551 [382–736]","92 [64–123]","113 [78–151]","73 [51–98]","95 [66–127]","114 [79–152]","80 [56–107]"
"Armenia","Trachea, bronchus, lung cancers","5830 [3442–8511]","4907 [2897–7164]","923 [545–1347]","","","","199 [118–291]","357 [211–521]","60 [35–87]","151 [89–220]","296 [175–432]","43 [25–62]"
"Armenia","Cataracts","0 [0–0]","","0 [0–0]","","","","0 [0–0]","","0 [0–0]","0 [0–0]","","0 [0–0]"
