,Origin,Dest,Month,Prediction,lower,upper,origin_lon,origin_lat,dest_lon,dest_lat,dest_p_no_outbreak,risk_ij,risk_i,dest_municipality,dest_name,dest_region,dest_continent
0,CTS,HND,10,527281,483306,575257.0,141.68,42.79,139.78,35.55,0.6906709182484823,0.30932908175151774,0.3670167216106771,Tokyo,Tokyo Haneda International Airport,JP-13,AS
1,DEL,BOM,10,303139,276824,331955.0,77.1,28.56,72.87,19.1,0.7737996410576649,0.22620035894233514,0.4758637223827805,Mumbai,Chhatrapati Shivaji International Airport,IN-MM,AS
2,PEK,SHA,10,298365,274382,325928.0,116.59,40.08,121.34,31.2,0.7797197363913706,0.2202802636086294,0.7446300644983057,Shanghai,Shanghai Hongqiao International Airport,CN-31,AS
3,FUK,HND,10,324308,297075,354037.0,130.44,33.58,139.78,35.55,0.7964207529276468,0.2035792470723532,0.2854895317134164,Tokyo,Tokyo Haneda International Airport,JP-13,AS
4,SHA,PEK,10,279779,257300,304221.0,121.34,31.2,116.59,40.08,0.8011041102504675,0.19889588974953254,0.38322139911693276,Beijing,Beijing Capital International Airport,CN-11,AS
5,BOM,DEL,10,292231,267413,321926.0,72.87,19.1,77.1,28.56,0.8029773340885532,0.1970226659114468,0.42451939251519244,New Delhi,Indira Gandhi International Airport,IN-DL,AS
6,OKA,HND,10,256527,233810,281452.0,127.77,26.37,139.78,35.55,0.8352259187545239,0.1647740812454761,0.2215674591580742,Tokyo,Tokyo Haneda International Airport,JP-13,AS
7,CJU,GMP,10,259162,228575,293841.0,126.49,33.51,126.8,37.56,0.8484199777572501,0.1515800222427499,0.18583587816464475,Seoul,Gimpo International Airport,KR-11,AS
8,ITM,HND,10,219992,198158,244232.0,135.44,34.79,139.78,35.55,0.8569209724264643,0.14307902757353574,0.16501674703625113,Tokyo,Tokyo Haneda International Airport,JP-13,AS
9,HKG,TPE,10,263851,247843,280892.0,113.94,22.32,121.22,25.08,0.8655030262877899,0.13449697371221014,0.6035680697128687,Taipei,Taiwan Taoyuan International Airport,TW-TAO,AS
10,HND,ITM,10,238376,214125,265373.0,139.78,35.55,135.44,34.79,0.8720955286896611,0.12790447131033889,0.22811212103172884,Osaka,Osaka International Airport,JP-27,AS
11,TPE,HKG,10,268728,252218,286318.0,121.22,25.08,113.94,22.32,0.8769790041544895,0.12302099584551052,0.3836216321039102,Hong Kong,Hong Kong International Airport Kai Tak,HK-U-A,AS
12,CTU,PEK,10,160540,150195,172309.0,103.96,30.58,116.59,40.08,0.8805129709492425,0.11948702905075748,0.3250184067517313,Beijing,Beijing Capital International Airport,CN-11,AS
13,PEK,CAN,10,169711,164415,191396.0,116.59,40.08,113.3,23.39,0.8826195774209389,0.11738042257906112,0.7446300644983057,Guangzhou,Guangzhou Baiyun International Airport,CN-44,AS
14,CAN,PEK,10,155769,144189,168279.0,113.3,23.39,116.59,40.08,0.8838491032483947,0.11615089675160528,0.41424891148206033,Beijing,Beijing Capital International Airport,CN-11,AS
15,SIN,CGK,10,172493,160410,185486.0,103.99,1.36,106.66,-6.13,0.8847807947936411,0.11521920520635887,0.5035341057418086,Jakarta,Soekarno-Hatta International Airport,ID-BT,AS
16,HKG,PVG,10,142140,131303,153871.0,113.94,22.32,121.8,31.15,0.888218690653527,0.11178130934647301,0.6035680697128687,Shanghai,Shanghai Pudong International Airport,CN-31,AS
17,MAD,BCN,10,222226,212174,232753.0,-3.57,40.47,2.08,41.3,0.8892078235725417,0.11079217642745831,0.3030775450040516,Barcelona,Barcelona International Airport,ES-CT,EU
18,SZX,PEK,10,128807,119075,139335.0,113.93,22.3,116.59,40.08,0.902941297213543,0.09705870278645701,0.2927821437781162,Beijing,Beijing Capital International Airport,CN-11,AS
19,CEB,MNL,10,117475,103679,133107.0,123.98,10.32,121.01,14.51,0.9049957812891065,0.09500421871089348,0.11533804745240861,Manila,Ninoy Aquino International Airport,PH-U-A,AS
20,BLR,BOM,10,117277,108194,127123.0,77.71,13.2,72.87,19.1,0.905551436172371,0.094448563827629,0.26277374307455337,Mumbai,Chhatrapati Shivaji International Airport,IN-MM,AS
21,SUB,CGK,10,138529,125155,153334.0,112.78,-7.38,106.66,-6.13,0.9063663635766384,0.09363363642336164,0.10748293988264646,Jakarta,Soekarno-Hatta International Airport,ID-BT,AS
22,DPS,CGK,10,137289,127902,147364.0,115.16,-8.74,106.66,-6.13,0.9071643233311012,0.0928356766688988,0.14796091440693315,Jakarta,Soekarno-Hatta International Airport,ID-BT,AS
23,HAN,SGN,10,139879,128296,152507.0,105.8,21.21,106.66,10.81,0.9082316208412479,0.09176837915875213,0.15005694732597186,Ho Chi Minh City,Tan Son Nhat International Airport,VN-23,AS
24,BLR,DEL,10,122783,111824,134816.0,77.71,13.2,77.1,28.56,0.9119276548868847,0.08807234511311535,0.26277374307455337,New Delhi,Indira Gandhi International Airport,IN-DL,AS
25,PEK,CTU,10,160340,163225,187225.0,116.59,40.08,103.96,30.58,0.9119840101362865,0.0880159898637135,0.7446300644983057,Chengdu,Chengdu Shuangliu International Airport,CN-51,AS
26,SDU,CGH,10,165727,148789,184593.0,-43.17,-22.91,-46.66,-23.63,0.9136434390543886,0.0863565609456114,0.10819084154119885,São Paulo,Congonhas Airport,BR-SP,SA
27,MES,CGK,10,123749,111404,137462.0,98.67,3.56,106.66,-6.13,0.9159233794016507,0.0840766205983493,0.08961357849097484,Jakarta,Soekarno-Hatta International Airport,ID-BT,AS
28,HKG,MNL,10,99422,90760,108911.0,113.94,22.32,121.01,14.51,0.9189860231521633,0.08101397684783673,0.6035680697128687,Manila,Ninoy Aquino International Airport,PH-U-A,AS
29,HGH,PEK,10,104924,96947,113558.0,120.43,30.24,116.59,40.08,0.9201973820084761,0.07980261799152388,0.2187631144027571,Beijing,Beijing Capital International Airport,CN-11,AS
30,TLS,ORY,10,131308,124186,138839.0,1.37,43.63,2.36,48.73,0.9209125897286887,0.07908741027131128,0.10760345848719866,Paris,Paris-Orly Airport,FR-IDF,EU
31,HKG,PEK,10,102125,94649,110191.0,113.94,22.32,116.59,40.08,0.9222412008197569,0.07775879918024309,0.6035680697128687,Beijing,Beijing Capital International Airport,CN-11,AS
32,KOJ,HND,10,114790,102437,128631.0,130.72,31.8,139.78,35.55,0.9225906550175786,0.07740934498242136,0.1035590826919498,Tokyo,Tokyo Haneda International Airport,JP-13,AS
33,LAX,JFK,10,123588,118732,128643.0,-118.41,33.94,-73.79,40.64,0.9248608883025664,0.07513911169743359,0.2766725756447104,New York,John F Kennedy International Airport,US-NY,NA
34,NRT,PVG,10,93361,86850,100360.0,140.39,35.77,121.8,31.15,0.9250956239890904,0.0749043760109096,0.4315080380771502,Shanghai,Shanghai Pudong International Airport,CN-31,AS
35,XIY,PEK,10,97594,91839,103711.0,108.76,34.44,116.59,40.08,0.9255593456535866,0.07444065434641345,0.23552978105319755,Beijing,Beijing Capital International Airport,CN-11,AS
36,NCE,ORY,10,121647,115253,128395.0,7.21,43.66,2.36,48.73,0.9265119912253542,0.07348800877464579,0.13411303632408889,Paris,Paris-Orly Airport,FR-IDF,EU
37,CAN,SHA,10,90630,81886,100306.0,113.3,23.39,121.34,31.2,0.9272049401008945,0.07279505989910551,0.41424891148206033,Shanghai,Shanghai Hongqiao International Airport,CN-31,AS
38,UPG,CGK,10,106261,97961,115263.0,119.55,-5.06,106.66,-6.13,0.9273616797244014,0.07263832027559858,0.07263832027559858,Jakarta,Soekarno-Hatta International Airport,ID-BT,AS
39,ORD,LGA,10,118032,114003,122203.0,-87.99,41.98,-73.87,40.77,0.9281143263892616,0.07188567361073839,0.24052309468401256,New York,La Guardia Airport,US-NY,NA
40,ADB,IST,10,95509,90666,100611.0,27.15,38.29,28.82,40.98,0.9307161661554706,0.06928383384452941,0.09292545204710789,Istanbul,Istanbul Airport,TR-34,AS
41,SZX,SHA,10,84284,76632,92699.0,113.93,22.3,121.34,31.2,0.9321249298620381,0.0678750701379619,0.2927821437781162,Shanghai,Shanghai Hongqiao International Airport,CN-31,AS
42,LHR,JFK,10,110922,106078,115988.0,-0.45,51.47,-73.79,40.64,0.9322944429618341,0.06770555703816594,0.4195935881985313,New York,John F Kennedy International Airport,US-NY,NA
43,CCU,DEL,10,92109,82060,103389.0,88.44,22.65,77.1,28.56,0.933175218212362,0.06682478178763795,0.1858657349942382,New Delhi,Indira Gandhi International Airport,IN-DL,AS
44,SHA,CAN,10,93789,85051,103425.0,121.34,31.2,113.3,23.39,0.9333237685912011,0.06667623140879886,0.38322139911693276,Guangzhou,Guangzhou Baiyun International Airport,CN-44,AS
45,MAA,BOM,10,81080,74291,88489.0,80.16,12.98,72.87,19.1,0.933709306286601,0.06629069371339902,0.20390293791494984,Mumbai,Chhatrapati Shivaji International Airport,IN-MM,AS
