NodeName,OAGName,Name,City,density,R0,p_outbreak_from_one
MNL,Manila Philippines,Ninoy Aquino International Airport,Manila,29895.926999999996,6.655790186459498,0.8497548792877525
BOM,Mumbai India,Chhatrapati Shivaji International Airport,Mumbai,29158.623694117647,6.491642872755666,0.8459557896820185
SHA,Shanghai (Hongqiao Intl) China,Hongqiao Airport,Shanghai,27049.920241379303,6.022177993914841,0.8339471199605096
PVG,Shanghai (Pu Dong Intl) China,Pu Dong Airport,Shanghai,27049.920241379303,6.022177993914841,0.8339471199605096
LAD,Luanda Angola,4 de Fevereiro Airport,Luanda,24503.294142857143,5.455217518157544,0.816689252688545
DAC,Dhaka Hazrat Shahjalal Intl,Zia International Airport,Dhaka,23669.91762068966,5.269681231630349,0.8102352009458043
PEK,Beijing(Capital) China,Capital Airport,Beijing,21661.5382,4.822551693251644,0.7926408956073332
NAY,Beijing(Nanyuan) China,Nanyuan Airport,Beijing,21661.5382,4.822551693251644,0.7926408956073332
LIM,Lima Peru,J Chavez International Airport,Lima,21635.051428571427,4.816654890207361,0.7923870356514271
CAI,Cairo Egypt,Cairo International Airport,Cairo,21580.506781481483,4.8045115060324814,0.7918622946902275
BEY,Beirut Rafic Hariri Intl Lebanon,Beirut International Airport,Beirut,21055.8718,4.68771096791176,0.7866762676186345
ALY,ALEXANDRIA(EL NOUZHA) EGYPT,El Nohza Airport,Alexandria,20131.036146666665,4.4818129515851926,0.7768760073652102
HBE,Alexandria(Borg El Arab) Egypt,Borg El Arab Airport,Alexandria,20131.036146666665,4.4818129515851926,0.7768760073652102
SAW,Istanbul (Sabiha Gokcen) Turkey,Sabiha Gokcen,Istanbul,18095.0499,4.028537250171736,0.7517709436700951
IST,Istanbul (Ataturk) Turkey,Ataturk Airport,Istanbul,18095.0499,4.028537250171736,0.7517709436700951
DEL,Delhi India,Indira Gandhi International Airport,Delhi,18029.91348275862,4.014035798965479,0.7508741700166885
CAN,Guangzhou China,Baiyun Airport,Guangzhou,16996.500448275863,3.783964982513804,0.7357269412848346
LOS,Lagos Nigeria,Murtala Muhammed Airport,Lagos,16312.086249999998,3.6315924769093435,0.7246387070250109
MAA,Chennai India,Chennai Airport,Chennai,15630.464336363639,3.4798416232343055,0.7126305998171952
CGK,Jakarta(Intl) Indonesia,Soekarno-Hatta International Airport,Jakarta,15471.75557142857,3.444507972594874,0.7096827738660557
NRT,Tokyo(Narita) Japan,Narita Airport,Tokyo,15067.162931034483,3.3544327016240594,0.7018869988013632
HND,Tokyo(Haneda) Japan,Haneda Airport,Tokyo,15067.162931034483,3.3544327016240594,0.7018869988013632
CCU,Kolkata India,Netaji Subhas Chandra Bose Airport,Kolkata,14752.536689655173,3.284386830500041,0.6955291652269376
SGN,Ho Chi Minh City Vietnam,Ho Chi Minh City Airport,Ho Chi Minh City,14402.819137931037,3.2065285105757875,0.6881362518057159
DKR,Dakar Senegal,Yoff Airport,Dakar,14068.949523809524,3.132198448784193,0.6807354270965289
WUH,Wuhan China,Wuhan Airport,Wuhan,13475.151482758622,3.0,0.6666666666666667
KTM,Kathmandu Nepal,Tribhuvan Airport,Kathmandu,13393.561044827586,2.9818353571678737,0.6646360780463101
KHI,Karachi Pakistan,Quaid-E-Azam International Airport,Karachi,13090.512448275862,2.9143670403316277,0.6568723204177436
BZV,Brazzaville Congo,Maya Maya Airport,Brazzaville,12722.433255172413,2.832420831361494,0.6469451188440392
FIH,Kinshasa D.R. of Congo (Zaire),NDjili Airport',Kinshasa,12722.433255172413,2.832420831361494,0.6469451188440392
TLC,Mexico City (Toluca) Mexico,Toluca Airport,Toluca,12708.076413793104,2.829224538971532,0.6465462580910895
ICN,Seoul(Incheon Intl) Rep. of Korea,Incheon International Airport,Seoul,12281.61182857143,2.7342798730579796,0.6342729909057867
GMP,Seoul(Gimpo Intl) Rep. of Korea,Gimpo International Airport,Seoul,12281.61182857143,2.7342798730579796,0.6342729909057867
AEP,Buenos Aires(Newbery) BA Argentina,Jorge Newbery Airport,Buenos Aires,12247.386590909091,2.726660239756017,0.6332509692922061
EZE,Buenos Aires(Pistarini) BA Argentina,Ministro Pistarini Airport,Buenos Aires,12247.386590909091,2.726660239756017,0.6332509692922061
HPN,Westchester County NY USA,Westchester County Airport,Westchester County,12206.908110285713,2.717648434432306,0.6320348182899193
LGA,New York(Laguardia) NY USA,La Guardia Airport,New York,12206.908110285713,2.717648434432306,0.6320348182899193
EWR,Newark/New York(Liberty) NJ USA,Newark Liberty International Airport,Newark,12206.908110285713,2.717648434432306,0.6320348182899193
JFK,New York(Kennedy) NY USA,John F. Kennedy International Airport,New York,12206.908110285713,2.717648434432306,0.6320348182899193
CDG,Paris(Charles De Gaulle) France,Charles De Gaulle Airport,Paris,12056.910685714285,2.6842542069692574,0.6274570428524794
ORY,Paris(Orly) France,Orly Field,Paris,12056.910685714285,2.6842542069692574,0.6274570428524794
YNT,Yantai China,Laishan Airport,Yantai,11842.146444444446,2.636440813210094,0.6207007587693903
TSN,Tianjin China,Tianjin Airport,Tianjin,11831.935802857144,2.6341675975953307,0.6203734337508076
MEX,Mexico City(Juarez Intl) Mexico,Juarez International Airport,Mexico City,11679.662444137932,2.600266674348409,0.6154240602069838
AMD,Ahmedabad India,Ahmedabad Airport,Ahmedabad,11674.749575862068,2.5991729126310403,0.6152622262488341
SJK,Sao Jose Dos Campos SP Brazil,Sao Jose dos Campos Airport,Sao Jose dos Campos,11227.493551724136,2.499599406972823,0.5999358948436202
DMK,Bangkok (Don Muang) Thailand,Don Muang International Airport,Bangkok,10985.457448275862,2.445714423841177,0.5911215184193805
BKK,Bangkok (Intl) Thailand,Suvarnabhumi Airport,Bangkok,10985.457448275862,2.445714423841177,0.5911215184193805
NKG,Nanjing China,Nanking Airport,Nanking,10878.655437931035,2.421936878078932,0.5871073234603889
SSA,Salvador BA Brazil,Airport Luis E. Magalhaes,Salvador,10839.81927,2.413290704123695,0.5856280396343232
VKO,Moscow(Vnukovo Intl) Russian Fed.,Vnukovo Airport,Moscow,10826.87308,2.4104084678794715,0.5851325560270131
SVO,Moscow(Sheremetyevo) Russian Fed.,Sheremetyevo Airport,Moscow,10826.87308,2.4104084678794715,0.5851325560270131
DME,Moscow(Domodedovo) Russian Fed.,Domodedovo Airport,Moscow,10826.87308,2.4104084678794715,0.5851325560270131
CTU,Chengdu China,Chengdu Airport,Chengdu,10559.030137931033,2.3507780565082146,0.5746089269331642
ITM,Osaka(Itami) Japan,Itami Airport,Osaka,10546.89148275862,2.348075603362227,0.5741193347573252
KIX,Osaka(Kansai Intl) Japan,Kansai International Airport,Osaka,10546.89148275862,2.348075603362227,0.5741193347573252
UKB,Osaka(Kobe) Japan,Kobe Airport,Kobe,10546.89148275862,2.348075603362227,0.5741193347573252
DAR,Dar Es Salaam Tanzania,Dar Es Salaam International Airport,Dar Es Salaam,10314.09877777778,2.296248496569692,0.5645070638069551
ZNZ,Zanzibar Tanzania,Kisauni Airport,Zanzibar,10314.09877777778,2.296248496569692,0.5645070638069551
JJN,Jinjiang China,Jinjiang Airport,Jinjiang,10242.255821074077,2.2802539550324874,0.5614523558689528
XMN,Xiamen China,Xiamen Airport,Xiamen,10242.255821074077,2.2802539550324874,0.5614523558689528
BVA,Paris(Beauvais-Tille) France,Beauvais-Tille Airport,Paris,10095.058779999998,2.2474831825638253,0.5550578497058003
ALG,Algiers Algeria,Houari Boumediene Airport,Algiers,10059.658166666668,2.2396018730189287,0.5534920683683728
BLR,Bengaluru International,Bengaluru International Airport,Bangalore,10050.069813793101,2.2374671987885497,0.553066073754539
TPE,Taipei(Taoyuan Intl) Chinese Taipei,Taiwan Taoyuan International Airport,Taipei,9925.278413793103,2.2096846391283482,0.5474467341210876
TSA,Taipei(Sung Shan) Chinese Taipei,Sung Shan Airport,Taipei,9925.278413793103,2.2096846391283482,0.5474467341210876
CGH,Sao Paulo(Congonhas) SP Brazil,Congonhas Airport,Sao Paulo,9871.075179310345,2.1976172643269343,0.5449617109254596
GRU,Sao Paulo(Intl) SP Brazil,Guarulhos International Airport,Sao Paulo,9871.075179310345,2.1976172643269343,0.5449617109254596
LTN,London(Luton) England UK,Luton Airport,London,9541.502533333334,2.124243845171232,0.5292442521261529
LHR,London(Heathrow) England UK,Heathrow Airport,London,9541.502533333334,2.124243845171232,0.5292442521261529
LCY,London(City) England UK,London City Airport,London,9541.502533333334,2.124243845171232,0.5292442521261529
STN,London(Stansted) England UK,Stansted Airport,London,9541.502533333334,2.124243845171232,0.5292442521261529
LGW,London(Gatwick) England UK,Gatwick Airport,London,9541.502533333334,2.124243845171232,0.5292442521261529
SEN,Southend London Southend England UK,Southend Municipal Airport,Southend,9541.502533333334,2.124243845171232,0.5292442521261529
CEB,Cebu Philippines,Mactan International Airport,Cebu,9538.583400000001,2.1235939526626986,0.529100184738172
BCN,Barcelona Spain,Barcelona Airport,Barcelona,9524.425920833333,2.120442044681972,0.5284002208369802
FOR,Fortaleza CE Brazil,Pinto Martins Airport,Fortaleza,9473.142668749999,2.1090247514183784,0.5258471958057999
XIY,Xi An(Xianyang) China,Xianyang Airport,Xian,9454.03051724138,2.1047697747972087,0.5248886543439895
SHE,Shenyang China,Shenyang Airport,Shenyang,9401.263057142854,2.093022049326507,0.5222219468152377
HYD,HYDERABAD RAJIV GANDHI INTL,Rajiv Gandhi International Airport,Hyderabad,9032.331068965515,2.0108859808787303,0.5027067623381544
BPM,Hyderabad (Begumpet) India,,Hyderabad ,9032.331068965515,2.0108859808787303,0.5027067623381544
ACC,Accra Ghana,Kotoka Airport,Accra,9028.960318181818,2.0101355438714705,0.5025211095595946
TAO,Qingdao China,Qingdao Airport,Qingdao,8950.067916,1.992571570149299,0.4981359691260313
PNQ,Pune India,Lohegaon Airport,Pune,8817.404396551723,1.9630364247482208,0.49058510204248496
CGO,Zhengzhou China,Zhengzhou Airport,Zhengzhou,8794.330896551723,1.9578995251676432,0.48924856094728564
ZUH,Zhuhai China,Zhuhai Airport,Zhuhai,8781.369200000001,1.955013836668711,0.4884946688132028
SZX,Shenzhen China,Shenzhen Airport,Shenzhen,8781.369200000001,1.955013836668711,0.4884946688132028
HKG,Hong Kong(Intl) China,Hong Kong International Airport,Hong Kong,8781.369200000001,1.955013836668711,0.4884946688132028
MFM,Macau Macao China,Macau Airport,Macau,8781.369200000001,1.955013836668711,0.4884946688132028
