,,"Number of commercial bank branches per 1,000 km2","Number of credit union and credit cooperative branches per 1,000 km2","Number of all microfinance institution branches per 1,000 km2","Number of commercial bank branches per 100,000 adults","Number of credit union and credit cooperative branches per 100,000 adults","Number of all microfinance institution branches per 100,000 adults","Number of ATMs per 1,000 km2","Number of ATMs per 100,000 adults","Mobile money agent outlets: active per 100,000 adults","Mobile money agent outlets: active per 1,000 km2","Number of registered mobile money agent outlets per 100,000 adults","Number of registered mobile money agent outlets per 1,000 km2","Number of non-branch retail agent outlets of commercial banks per 1,000 km2","Number of non-branch retail agent outlets of commercial banks per 100,000 adults","Number of insurance corporations per 100,000 adults","Branches of other deposit takers per 1,000 km2","Branches of other deposit takers per 100,000 adults","Number of depositors with commercial banks per 1,000 adults",Number of small and medium enterprise (SME) depositors with commercial banks (% of non-financial corporation depositors with commercial banks),"Number of household sector depositors with commercial banks per 1,000 adults","Number of male depositors of the household sector with commercial banks per 1,000 male adults","Number of female depositors of the household sector with commercial banks per 1,000 female adults","Number of depositors with credit unions and credit cooperatives per 1,000 adults","Number of deposit accounts with commercial banks per 1,000 adults",Number of small and medium enterprise (SME) deposit accounts with commercial banks (% of non-financial corporation deposit accounts with commercial banks),"Number of household sector deposit accounts with commercial banks per 1,000 adults","Number of men-owned deposit accounts of the household sector with commercial banks per 1,000 male adults","Number of women-owned deposit accounts of the household sector with commercial banks per 1,000 female adults","Number of deposit accounts with credit unions and credit cooperatives per 1,000 adults","Number of borrowers from commercial banks per 1,000 adults",Number of small and medium enterprise (SME) borrowers from commercial banks (% of non-financial corporation borrowers from commercial banks),"Number of household sector borrowers from commercial banks per 1,000 adults","Number of male borrowers of the household sector from commercial banks per 1,000 male adults","Number of female borrowers of the household sector from commercial banks per 1,000 female adults","Number of borrowers from credit unions and credit cooperatives per 1,000 adults","Number of borrowers from all microfinance institutions per 1,000 adults","Number of male borrowers of the household sector from all microfinance institutions per 1,000 male adults","Number of female borrowers of  the household sector from all microfinance institutions per female 1,000 adults","Number of loan accounts with commercial banks per 1,000 adults",Number of small and medium enterprise (SME) loan accounts with commercial banks (% of non-financial corporation loan accounts with commercial banks),"Number of household sector loan accounts with commercial banks per 1,000 adults","Number of men-owned loan accounts of the household sector with commercial banks per 1,000 male adults","Number of women-owned loan accounts of the household sector with commercial banks per 1,000 female adults","Number of loan accounts with credit unions and credit cooperatives per 1,000 adults","Number of loan accounts with all microfinance institutions per 1,000 adults","Number of men-owned loan accounts of the household sector with all microfinance institutions per 1,000 male adults","Number of women-owned loan accounts of the household sector with all microfinance institutions per 1,000 female adults",Outstanding deposits with commercial banks (% of GDP),Outstanding small and medium enterprise (SME) deposits with commercial banks (% of GDP),Outstanding deposits of household sector with commercial banks (% of GDP),Outstanding deposits with credit unions and credit cooperatives (% of GDP),Outstanding loans from commercial banks (% of GDP),Outstanding small and medium enterprise (SME) loans from commercial banks (% of GDP),Outstanding loans from commercial banks to household sector (% of GDP),Outstanding loans from credit unions and credit cooperatives (% of GDP),Outstanding loans from all microfinance institutions (% of GDP),"Number of registered mobile money accounts per 1,000 adults","Number of active mobile money accounts per 1,000 adults",Outstanding balances on active mobile money accounts (% of GDP),"Number of mobile money transactions (during the reference year) per 1,000 adults",Value of mobile money transactions (during the reference year) (% of GDP),"Number of credit cards per 1,000 adults","Number of debit cards per 1,000 adults","Number of mobile and internet banking transactions (during the reference year) per 1,000 adults",Value of mobile and internet banking transactions (during the reference year) (% of GDP),"Number of life insurance policies per 1,000 adults",Policies with insurance corporations: o/w non-life insurance,Average number of mobile money transactions per active mobile money account
Afghanistan,2010,0.55,,,2.39,,,0.12,0.53,,,,,,,0.01,,,105.89,,,,,,112.78,,,,,,3.78,,,,,,,,,3.69,,,,,,,,,20.98,,,,11.19,,,,,,,,,,0.06,2.44,,,,,
,2011,0.53,,,2.22,,,0.15,0.62,,,,,,,0.02,,,139.44,,,,,,102.75,,,,,,3.64,,,,,,,,,3.58,,,,,,,,,20.32,,,,4.74,0.6,,,,,,,,,0.02,4.03,,,,,
,2012,0.54,,,2.13,,,0.16,0.64,3.53,0.89,3.53,0.89,,,0.02,,,166.11,,,,,,163.85,,,,,,4.1,,,,,,,,,4.07,,,,,,,,,18.69,,,,4.1,0.28,,,,81.22,0.62,,2.33,0.03,0.02,3.98,,,,,3.77
,2013,0.6,,,2.25,,,0.19,0.71,4.4,1.17,4.4,1.17,,,0.02,,,155.78,,,,,,130.38,,,,,,3.73,,,,,,,,,3.7,,,,,,,,,18.25,,,,4.12,0.26,,,,80.66,0.41,,26.96,0.31,0.05,5.92,,,,,65.74
,2014,0.64,,,2.3,,,0.21,0.75,5.95,1.65,5.95,1.65,,,0.02,,,172.81,,,,,,174.32,,,,,,2.99,,,,,,,,,2.97,,,,,,,,,18.6,,,,3.67,0.16,,,,78.33,0.79,,30.15,0.32,0.04,7.58,,,,,38.16
,2015,0.63,,,2.16,,,0.27,0.92,8.09,2.35,8.09,2.35,,,0.02,,,181.09,,,,,,184.52,,,,,,2.92,,,,,,,,,2.9,,,,,,,,,19.38,,,,3.71,0.17,,,,11.86,1.09,0.02,52.25,0.34,0.05,9.48,,,,,47.83
,2016,0.64,,,2.11,,,0.32,1.06,7.26,2.19,7.26,2.19,,,0.03,,,182.14,,,,,,186.47,,,,,,3.01,,,,,,,,,3.02,,,,,,,,,19.4,,,,3.14,0.2,,,,21.06,2.12,0.03,104.42,0.7,0.06,11.79,,,,,49.21
,2017,0.64,,,2.04,,,0.38,1.21,9.52,2.98,9.52,2.98,,,0.03,,,166.17,,,,,,174.75,,,,,,3.14,,,,,,,,,3.14,,,,,,,,,19.65,,,,3.04,0.18,,,,26.1,2.24,0.05,168.11,1.05,0.07,16.4,,,,,74.99
,2018,0.64,,,1.96,,,0.52,1.61,9.08,2.94,9.08,2.94,,,,,,174.3,,,,,,178.73,,,,,,3.43,,,,,,,,,3.43,,,,,,,,,19.39,,,,2.94,0.17,,,,50.54,2.41,0.04,438.93,1.16,0.09,23.95,3.06,1.1,,,182.38
,2019,0.63,,,1.87,,,0.55,1.64,9.83,3.29,9.83,3.29,,,,,,183.29,,,,,,189.06,,,,,,3.02,,,,,,,,,3.02,,,,,,,,,17.38,,,,2.77,0.14,,,,2.53,2.53,0.05,100.04,0.17,0.06,31.47,6.4,0.3,,,39.52
Albania,2010,19.89,,,24.13,,,28.14,34.13,,,,,,,0.4,,,,,,,,,,,,,,,126.26,,,,,,,,,,,,,,,,,,64.03,,54.83,0.14,37.76,,11.52,0.36,,,,,,,12.09,295.52,71.89,7.36,,,
,2011,20.07,,,24.11,,,29.38,35.29,,,,,,,0.39,,,,,,,,,,,,,,,138.17,,,,,,,,,,,,,,,,,,68.36,,59.89,0.15,40.4,,10.95,0.35,,,,,,,16.61,304.18,82.16,7.85,,,
,2012,20.22,,,24.06,,,30.04,35.74,,,,,,,0.48,,,,,,,,,,,,,,,151.38,,,,,,,,,,,,,,,,,,70.91,,63.32,0.16,40.36,,10.74,0.34,,,,,,,21.35,312.57,102.57,8.8,,,
