country,1966,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.7,,,,,,,,60.6,,,,,,,,,,73.2
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.2,,,,,,14.1,,,8.7,,,5.3,,,,6.2,,11.6,8.2,9.4,8.2,
United Arab Emirates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
Argentina,,,,,,,,,,,,,1.8,,,,,,0,2.3,,,,5.5,6.1,7,6.8,10.2,12,11.2,12.5,13.1,15.1,19.2,30.3,18,14.5,11.7,9.6,8,7.9,7,6.5,3.3,3.5,3.2,3.5,,3.4,3.1,3.9
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.8,,47.4,43.8,39.7,29,19.5,15.5,13.8,9.3,13.9,14.1,13.1,11.3,11.4,11.4,9.5,9.6,8.1,9.4
Australia,,,,,,,,,,,,,,1.3,,,,1.3,,,,1,,,,,,1,,,,,,1,,1.2,0.7,,,,0.7,,0.7,,,,0.7,,,,
Austria,,,,,,,,,,,,,,,,,,,,0,,,,,,,0.5,1.2,,0.5,,,0.2,,,0.4,0.1,0.2,0.2,0.6,0.6,0.7,0.6,0.6,0.7,0.4,0.3,0.7,0.9,0.4,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.4,,,,,,16.7,0.6,0.9,0.2,0,,,,,,,,,,,,,
Burundi,,,,,,,,,,,,,,,,,,,,,,,,,95.1,,,,,,95.4,,,,,,,,93.1,,,,,,,89.6,,,,,
Belgium,,,,,,,,,,,,,,,,,,0.5,,,0.7,,,,1,,,0.7,,0.5,,,0.7,,,0.5,0.1,0.3,0.2,0.2,0.1,0.2,0.2,0.3,0.2,0.2,0.1,0.2,0.1,0.2,
Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.4,,,,,,,,76.8,,,,76.3,,,
Burkina Faso,,,,,,,,,,,,,,,,,,,,,,,,,,,92.9,,,,91.4,,,,,80.5,,,,,,81.8,,,,,76.7,,,,
Bangladesh,,,,,,,,,,,,,,,,76.3,,70.9,,,79.2,,,83.7,,,,74.9,,,,,72.4,,,,,66,,,,,60.2,,,,,,52.5,,
Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,4.8,3.4,2.9,4.4,5,5.4,5,3.9,6,4.6,3.3,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,0.6,,,0.4,,,,0.7,,,,,,,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.8,34.9,27.8,15.6,11.4,9.4,4.7,2.7,1.2,1.1,0.5,0.6,0.2,0.1,0.1,0,0,0,0,0,0
Belize,,,,,,,,,,,,,,,,,,,,,,,,,,24.7,26.3,,31.3,34.8,33.1,27.7,,,,,,,,,,,,,,,,,,,
Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,37.1,,,,,31.9,,38.1,41.3,36.1,38.2,,28.9,32,28.5,26.3,20,18.3,,13.9,14.6,12.2,12.1,11.6,12.5,11.6,10.5
Brazil,,,,,,,,,,,,,,39,39,47.1,46.4,41.5,23.2,33,35.7,33,38.3,,37.1,36.3,,26.8,27.2,27.5,25.3,27.1,,23.3,22.3,23.3,21.4,19.6,17,15.6,13.4,12.4,,10.2,9,7.9,7,7.7,8.8,9.1,9.1
