country,1966,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.5,,,,,,,,82.9,,,,,,,,,,89.3
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.6,,,,,,49.7,,,38.5,,,31.1,,,,34.5,,37,34.2,34.2,33.8,
United Arab Emirates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
Argentina,,,,,,,,,,,,,7.5,,,,,,7.1,10.9,,,,19,18.4,17.8,20.6,24.6,26.3,25.1,27.9,28.5,31.5,36.9,49.9,34.2,29.4,25.5,20.9,19.8,17.7,16.2,15.3,11.5,10.5,10.4,11.5,,11.1,9.8,12.2
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.2,,81,79.7,78.9,68.1,61.3,55.9,48.4,45.5,54.3,55,51.3,48.3,46.1,44.9,39.8,37.5,41.5,42.5
Australia,,,,,,,,,,,,,,1.7,,,,1.7,,,,1.7,,,,,,1.7,,,,,,1.3,,1.5,1,,,,0.7,,0.7,,,,0.7,,,,
Austria,,,,,,,,,,,,,,,,,,,,0,,,,,,,0.7,2,,0.7,,,0.2,,,0.6,0.3,0.4,0.4,0.7,0.9,1,0.8,1,1,0.6,0.7,0.9,1.2,0.7,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.3,,,,,,52,16.2,17.5,13.9,7.1,,,,,,,,,,,,,
Burundi,,,,,,,,,,,,,,,,,,,,,,,,,98.9,,,,,,98,,,,,,,,98.4,,,,,,,96.9,,,,,
Belgium,,,,,,,,,,,,,,,,,,0.7,,,0.7,,,,1.2,,,1,,0.7,,,0.7,,,0.7,0.2,0.5,0.4,0.3,0.3,0.3,0.4,0.5,0.4,0.4,0.2,0.2,0.2,0.3,
Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.1,,,,,,,,90.1,,,,90.6,,,
Burkina Faso,,,,,,,,,,,,,,,,,,,,,,,,,,,97.2,,,,96.3,,,,,93.1,,,,,,94.2,,,,,92.3,,,,
Bangladesh,,,,,,,,,,,,,,,,95.9,,94,,,95.5,,,96.9,,,,92.6,,,,,91.5,,,,,89.2,,,,,87.6,,,,,,84.3,,
Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,12.2,9.1,9,11.4,11.9,11.6,11.5,9.1,12.4,9.4,7.9,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.6,,,3.9,,,2.8,,,,3.8,,,,,,,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.9,72,65.9,50,42.7,39.1,27.4,17.1,11.7,7.6,5.5,5.1,3.6,2.7,1.2,0.7,0.4,0.9,0.8,0.8,0.4
Belize,,,,,,,,,,,,,,,,,,,,,,,,,,48.9,52.2,,57.7,57.8,56.1,51.1,,,,,,,,,,,,,,,,,,,
Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,64.9,,,,,52.4,,54.7,62,57.3,59.2,,52.8,51.9,47.9,46.3,39,34.6,,27.9,28,25.8,24.8,25.4,24.9,24.6,22.8
Brazil,,,,,,,,,,,,,,60.2,59.8,66.4,66.5,61.4,42.2,52.7,54.8,52,57.6,,58,56.6,,45,45.5,45.5,44.5,45.8,,41.1,40.3,41.5,40.1,37.9,34,31.9,28.7,27.3,,23.8,21.1,19.3,17.6,18.6,20,20.2,19.8
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,,,,61.6,,,,,44.3,,,,,38.9,
Botswana,,,,,,,,,,,,,,,,,,80.6,,,,,,,,74.7,,,,,,,,,65.3,,,,,,,55.8,,,,,,59.1,,,
Central African Republic,,,,,,,,,,,,,,,,,,,,,,,,,96.7,,,,,,,,,,,95.2,,,,,92.7,,,,,,,,,,
Canada,,,,4.5,,,,2,,,,,,1.2,,,,,,0.7,,,,0.5,,,0.5,,,1,1,,0.7,,,,0.7,,,0.5,,,0.5,,,0.7,,,,0.7,
Switzerland,,,,,,,,,,,,,,,0.7,,,,,,,,,,1,,,,,,,,0.2,,0.2,,,,0.3,0.3,0.3,0.2,0.2,0,0,0.1,0.1,0,0.1,0.1,
Chile,,,,,,,,,,,,,,,,,,,,52.3,,,45.6,,39.2,,36.5,,30.8,,28.6,,30.4,,,29.8,,,19.2,,,15.2,,12,,6.6,,5.1,,3.6,
China,,,,,,,,,,,,,,,,,,,,,,,98.3,,,96.3,,,92.3,,,88.9,,,80.6,,,70.5,,,60.7,,53.5,49.2,44.4,36.4,31.5,27.2,24,,
Cote d'Ivoire,,,,,,,,,,,,,,,,,,47.6,52,58.4,68.1,,,,78.9,,,79.7,,,82.9,,,,81.9,,,,,,82,,,,,,,83.2,,,
Cameroon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.1,,,,,80.9,,,,,,81.4,,,,,,,71.1,,,,
"Congo, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.7,,,,,,,,97.9,,,,,,
"Congo, Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.1,,,,,,82.9,,,,,,,
